S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
1,E,Phase 1,Cycle 1,N_02026_05005_AS,N/02026/05005/AS,N_02026_05003_AS,Nalbari-Bijni( AS-09) from 983.00 km to 961.50 km of Old NH-31,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
2,E,Phase 1,Cycle 1,N_02026_05005_AS,N/02026/05005/AS,N_02026_05002_AS,Nalbari-Bijni( AS-08) from km.1013 to km.983 of Old NH-31,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
3,E,Phase 1,Cycle 1,N_02026_06003_AS,N/02026/06003/AS,N_02026_06001_AS,Nalbari to Bijni section of NH-31 from km. 1040.30 to Km. 1013.00 (Contract Package EW-11/ AS-07) in Assam,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
4,E,Phase 1,Cycle 1,N_08067_03001_BR,N/08067/03001/BR,N_08067_03001_BR,Bhojpur Buxar section of NH-84 from km.27.37 to km. 75.00,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
5,E,Phase 1,Cycle 1,N_04001_25001_OR,N/04001/25001/OR,N_04001_25001_OR,Binjhabahal - Telebani from km. 414.000 to km. 491.71,414982,493302,21.4496272728333,85.2562084458333,21.540958578,84.5944442704
6,E,Phase 1,Cycle 1,N_02005_03001_UP,N/02005/03001/UP,N_02005_03001_UP,Agra - Etawah Bypass Section of NH- 2 from Km. 199.660 to Km. 323.525 in the State of Uttar Pradesh,199660,323520,27.2061967,78.03192,26.7642614,79.0449999
7,E,Phase 1,Cycle 1,N_02008_02001_UP,N/02008/02001/UP,N_02008_02001_UP,Agra Bypass connecting km 176.8 of NH-2 to km 13.03 of NH-3 (km 0.000 to km 32.800),0,32790,27.2633538,77.8127896,27.0665625,77.9799134
8,E,Phase 1,Cycle 1,N_02005_04001_UP,N/02005/04001/UP,N_02005_04001_UP,6 of Etawah - Chakeri from km. 323.475 to km. 483.687 of NH-19,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
9,E,Phase 1,Cycle 1,N_02005_08001_UP,N/02005/08001/UP,N_02005_08001_UP,6 of Handia to Varanasi Section from Km 712.900 to Km 785.544,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
10,E,Phase 1,Cycle 1,"N_02005_09002_UP
","N/02005/09002/UP
",N_02005_09001_UP,"Varanasi bypass (Ring Road, Phase-I) from Harhua (Km 0.000) to Sandaha (Km 16.550)",245000,317630,25.3651906,82.170761,25.2721586,82.8577781
11,E,Phase 1,Cycle 1,"N_02005_10002_UP
","N/02005/10002/UP
",N_02005_10001_UP,"4 Bypass connecting NH-2 (Rakhauna Village km. 782.546 of NH-2) with NH-56 (Vajidpur Village km. 271.300 of NH-56) of Varanasi Ring Road (Pkg-I, Phase -II) from km. 0.00 to km. 16.400 i/c Interchange Loop at NH-2",245000,317630,25.3651906,82.170761,25.2721586,82.8577781
12,E,Phase 1,Cycle 1,N_08040_03001_UP,N/08040/03001/UP,N_08040_03001_UP,Varanasi (Km 12.01) to Birnon (Km 84.160) [Varanasi - Gorakpur] ( PKG-II),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
13,E,Phase 1,Cycle 1,N_02008_09001_UP,N/02008/09001/UP,N_02008_09001_UP,Jhansi - Lalitpur section 1/2 from km. 0.00 to km. 49.70 (Package - NS1/BOT/UP-2),245000,317630,25.3651906,82.170761,25.2721586,82.8577781
14,E,Phase 1,Cycle 1,"N_02021_06010_UP
","N/02021/06010/UP
",N_02021_06001_UP,Ayodhya - Gorakhpur Section from km. 137.97 to km. 252.86 of Old NH- 28 (Pkg No.l/NHAI/OMT/Pkg- 11/2011),245000,317630,25.3651906,82.170761,25.2721586,82.8577781
15,E,Phase 1,Cycle 1,N_02021_07001_UP,N/02021/07001/UP,N_02021_07001_UP,Four laning of Gorakhpur Bypass from km. 79.670 of NH - 29E to km. 251.700 of NH - 28,2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
16,E,Phase 1,Cycle 1,N_02021_07002_UP,N/02021/07002/UP,N_02021_07002_UP,Gorakhpur Bypass (Km. 0.000 to Km. 32.27 connecting NH28),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
17,E,Phase 1,Cycle 1,N_02022_01001_UP,N/02022/01001/UP,N_02022_01001_UP,Gorakhpur - Kasia - UP/Bihar Border OMT-27A,245000,317630,25.3651906,82.170761,25.2721586,82.8577781
18,E,Phase 1,Cycle 1,N_04020_04001_UP,N/04020/04001/UP,N_04020_04001_UP,4 L of Moradabad - Bareilly section of NH-24 from km 149.25 to km 271.05,148000,269790,28.8145255,78.7044409,28.2544268,79.514351
19,E,Phase 1,Cycle 1,N_04021_01001_UP,N/04021/01001/UP,N_04021_01001_UP,Ghaziabad - Aligarh,23600,150960,28.638171,77.458536,27.86128,78.133982
20,E,Phase 1,Cycle 1,N_04021_03001_UP,N/04021/03001/UP,N_04021_03001_UP,Aligarh-Kanpur (Pkg II) [Bhadwas to Kalyanpur],195733,240893,27.633605,78.5027082,27.4465298,78.8787058
21,E,Phase 1,Cycle 1,N_04021_04001_UP,N/04021/04001/UP,N_04021_04001_UP,Aligarh-Kanpur (Pkg III) [Kalyanpur - Naviganj],240897,302107,27.4465985,78.8785395,27.1891028,79.3918778
22,E,Phase 1,Cycle 1,N_04040_02001_UP,N/04040/02001/UP,N_04040_02001_UP,4 PS of EPE Cossing to start of Shamli Bypass from Km. 92.20 to Km. 155.025 of existing NH-709-B,0,61400,28.8792994,77.2483543,29.3989707,77.2949085
23,E,Phase 1,Cycle 1,N_05048_02002_UP,N/05048/02002/UP,N_05048_02002_UP,Panipat - Shamli,0,35580,29.3271317,76.9865797,29.4112705,77.2947634
24,E,Phase 1,Cycle 1,N_08035_01001_UP,N/08035/01001/UP,N_08035_01001_UP,Shakarpur( Km 8.800) to Akbarpur (Km 73.512) of NH-235 in UttarPradesh (Meerut - Bulandshahar),2800,61500,22.9807286715,77.6007005825,22.5481370311667,77.8127396381667
